排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,总分
1,半导体,110,25,4.26,8.09,113.33,"ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)[ASX](8/8,+6%)、Semtech Corporation[SMTC](7/8,+24%)、Micron Technology Inc.[MU](7/8,+16%)、First Solar Inc.[FSLR](7/8,-11%)、Skyworks Solutions Inc.[SWKS](6/8,+10%)、◎AXT Inc[AXTI](+13%)、◎Semtech Corporation[SMTC](+10%)、◆T1 Energy Inc.[TE](+10%)、◆Intel Corporation[INTC](+9%)、◎Aehr Test Systems[AEHR](+5%)、◎Cohu Inc.[COHU](+5%)、◆Silicon Motion Technology Corporation[SIMO](+6%)",趋势+动量,6.13
2,其他电气设备,30,6,4.94,7.27,101.69,"Bloom Energy Corporation[BE](8/8,+32%)、Power Solutions International Inc.[PSIX](7/8,+0%)、nVent Electric plc[NVT](6/8,+0%)、Sensata Technologies Holding plc[ST](6/8,-7%)、Hubbell Inc[HUBB](6/8,-8%)、◆FuelCell Energy Inc.[FCEL](+19%)、◎Bloom Energy Corporation[BE](+10%)、◎ERock Inc.[EROC](+11%)、◎Power Solutions International Inc.[PSIX](+7%)、◆Babcock & Wilcox Enterprises Inc.[BW](+9%)、◆Enphase Energy Inc.[ENPH](+7%)、◆nVent Electric plc[NVT](+4%)",动量,6.08
3,通信设备,22,4,5.42,5.96,83.4,"QUALCOMM Incorporated[QCOM](7/8,+8%)、EchoStar  Corporation[ECHO](7/8,+5%)、ViaSat Inc.[VSAT](7/8,-8%)、IHS Holding Limited[IHS](6/8,+2%)、◆Satellogic Inc.[SATL](+15%)、◎Lumentum Holdings Inc.[LITE](+11%)、◎Viavi Solutions Inc.[VIAV](+11%)、◎Arteris Inc.[AIP](+6%)、◎Applied Optoelectronics Inc.[AAOI](+6%)、◆Nokia Corporation Sponsored[NOK](+6%)、◎ViaSat Inc.[VSAT](+3%)",动量,5.68
4,非银行金融,334,67,4.24,6.79,95.09,"Marex Group Limited[MRX](8/8,+27%)、XP Inc.[XP](8/8,+23%)、Slide Insurance Holdings Inc.[SLDE](8/8,+19%)、Lincoln International Inc.[LCLN](8/8,+11%)、Oppenheimer Holdings Inc. Class A Common Stock (DE)[OPY](8/8,+10%)、◎Eos Energy Enterprises Inc.[EOSE](+11%)、◎Securitize Corp.[SECZ](+11%)、◎Hut 8 Corp.[HUT](+6%)、◆TeraWulf Inc.[WULF](+8%)、◆Keel Infrastructure Corp.[KEEL](+7%)、◆Hyliion Holdings Corp.[HYLN](+8%)、◆Uranium Royalty Corp.[UROY](+9%)",趋势+动量,5.48
5,石油天然气,302,60,4.75,5.69,79.71,"Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)[UGP](8/8,+28%)、Delek US Holdings Inc.[DK](8/8,+24%)、Geopark Ltd[GPRK](8/8,+24%)、Atlas Energy Solutions Inc.[AESI](8/8,+19%)、Scorpio Tankers Inc.[STNG](8/8,+8%)、◎New Era Energy & Digital Inc.[NUAI](+22%)、◎Solaris Energy Infrastructure Inc.[SEI](+16%)、◆Sasol Ltd.[SSL](+8%)、◆ProPetro Holding Corp.[PUMP](+5%)、◎Atlas Energy Solutions Inc.[AESI](+4%)、◆Delek US Holdings Inc.[DK](+5%)、◆CVR Energy Inc.[CVI](+4%)",趋势+动量,5.21
6,电力,162,33,4.76,5.64,78.89,"Constellation Energy Corporation[CEG](8/8,+11%)、Korea Electric Power Corporation[KEP](8/8,+2%)、Energy Vault Holdings Inc.[NRGV](7/8,+29%)、Vistra Corp.[VST](7/8,+6%)、Entergy Corporation[ETR](7/8,+3%)、◆NuScale Power Corporation[SMR](+15%)、◎Energy Vault Holdings Inc.[NRGV](+12%)、◆Nano Nuclear Energy Inc.[NNE](+9%)、◆Centrus Energy Corp.[LEU](+7%)、◎INNIO N.V.[INIO](+5%)、◆Fervo Energy Company Class A common stock[FRVO](+4%)、◎Pacific Gas & Electric Co.[PCG](+4%)",趋势+动量,5.19
7,电子设备制造,54,11,4.83,5.33,74.65,"SolarEdge Technologies Inc.[SEDG](7/8,+13%)、Celestica Inc.[CLS](7/8,+5%)、TTM Technologies Inc.[TTMI](7/8,-1%)、Arlo Technologies Inc.[ARLO](7/8,-4%)、Daktronics Inc.[DAKT](7/8,-8%)、◆LightPath Technologies Inc.[LPTH](+11%)、◆Frequency Electronics Inc.[FEIM](+8%)、◆Unusual Machines Inc.[UMAC](+9%)、◎Celestica Inc.[CLS](+6%)、◎TTM Technologies Inc.[TTMI](+3%)、◆SolarEdge Technologies Inc.[SEDG](+7%)、◆Fluence Energy Inc.[FLNC](+7%)",趋势+动量,5.07
8,计算机软件,70,15,4.27,5.52,77.36,"PayPay Corporation American Depository Shares[PAYP](8/8,+18%)、Oracle Corporation[ORCL](8/8,+8%)、CoreWeave Inc.[CRWV](7/8,+13%)、Sharplink Inc.[SBET](6/8,+43%)、Strategy Inc Common Stock Class A[MSTR](6/8,+40%)、◎CoreWeave Inc.[CRWV](+12%)、◎IREN Limited[IREN](+5%)、◆Boost Run Inc.[BRUN](+7%)、◆Applied Digital Corporation[APLD](+7%)、◎CleanSpark Inc.[CLSK](+6%)、◆Infleqtion Inc.[INFQ](+6%)、◆Digital Turbine Inc.[APPS](+6%)",趋势+动量,4.88
9,基本金属,20,4,4.92,4.44,62.17,"D/B/A Sibanye-Stillwater Limited[SBSW](7/8,+21%)、Aurora Innovation Inc.[AUR](7/8,-7%)、Century Aluminum Company[CENX](6/8,-8%)、Materion Corporation[MTRN](6/8,-8%)、◆Ivanhoe Electric Inc.[IE](+11%)、◆Ero Copper Corp.[ERO](+9%)、◆Almonty Industries Inc.[ALM](+9%)、◆Trekor Metals Limited[TGB](+5%)、◎Materion Corporation[MTRN](+5%)、◆Hudbay Minerals Inc. Ordinary Shares (Canada)[HBM](+6%)、◆Freeport-McMoRan Inc.[FCX](+5%)",动量,4.69
10,化学制药,70,13,5.12,3.92,54.85,"Trulieve Cannabis Corp. Subordinate Voting Shares[TRLV](8/8,+37%)、Summit Therapeutics Inc.[SMMT](8/8,+16%)、Belite Bio Inc[BLTE](7/8,+15%)、Mineralys Therapeutics Inc.[MLYS](7/8,+14%)、Zevra Therapeutics Inc.[ZVRA](7/8,+10%)、◆Mineralys Therapeutics Inc.[MLYS](+10%)、◎Belite Bio Inc[BLTE](-0%)、◆Pharvaris N.V.[PHVS](+7%)、◆Ocular Therapeutix Inc.[OCUL](+7%)、◆COMPASS Pathways Plc American Depository Shares[CMPS](+6%)、◆Veradermics Incorporated[MANE](+5%)、◆Abivax SA[ABVX](+4%)",趋势+动量,4.54
